"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Universe :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: March 2012 - May 2013","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 6/14/2013","","","","","",""

"","","","Mar-2012","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013"
"139","[P]","    RTL Group Sites","29,381","29,918","32,106","30,339","30,366","29,293","29,647","28,448","27,477","28,255","28,793","25,902","28,346","28,030","29,525"
"140","[P](u)","    Populis","23,042","25,108","25,363","23,380","25,007","26,781","25,838","28,535","27,812","25,410","26,608","26,402","28,752","30,249","29,433"
"141","[P]","    Groupe Lagardere","33,972","33,049","34,531","32,543","29,964","28,680","28,964","30,345","29,383","30,842","31,635","28,177","31,687","29,028","29,352"
"142","[P]","    21CN Corporation Limited","12,482","10,096","10,676","11,617","15,546","17,225","18,388","17,188","17,826","19,758","18,769","12,799","15,515","24,634","28,879"
"143","[P](u)","    Network 18","24,811","24,969","26,070","24,401","25,788","27,010","27,887","30,152","29,975","31,181","30,994","27,171","27,496","28,213","28,872"
"144","[P]","    Agricultural Bank of China","15,174","13,690","13,678","13,957","16,557","17,247","18,288","18,720","20,099","20,681","21,325","16,977","19,869","27,136","28,655"
"145","[P]","    Y8.COM","34,087","35,835","34,470","32,251","30,526","27,007","24,780","26,880","22,395","18,558","17,995","15,635","17,628","16,377","28,618"
"146","[P]","    RosBusinessConsulting","35,663","33,226","33,340","31,703","30,577","30,908","31,257","32,917","32,864","32,844","32,041","31,118","32,761","29,172","28,306"
"147","[P]","    ProSiebenSat1 Sites","28,654","29,853","29,873","27,876","28,091","26,789","25,485","25,145","24,342","25,639","25,192","24,400","27,221","27,027","28,052"
"148","[P]","    Vodafone Group","28,279","28,906","28,401","28,474","28,412","28,044","28,373","29,298","27,976","29,961","31,675","29,728","30,920","28,988","27,911"
"149","[P](u)","    Yellowbook Network","37,909","37,177","36,301","37,044","30,658","30,784","29,421","27,612","24,062","26,715","28,914","25,720","26,721","24,004","27,783"
"150","[P]","    Sakura Internet","31,592","30,451","30,801","31,493","31,955","31,226","30,644","29,109","28,280","28,412","28,617","25,188","26,255","26,267","27,649"
"151","[P](u)","    Ticketmaster","28,931","27,488","26,621","25,651","25,756","27,299","27,892","29,404","30,365","27,986","27,975","28,875","29,195","28,184","27,601"
"152","[P](u)","    Grupo Abril","16,337","17,040","19,268","21,175","20,326","22,333","21,769","22,737","21,688","19,798","21,644","23,997","26,672","26,538","27,283"
"153","[P]","    Symantec","32,324","29,688","28,606","28,133","28,176","27,101","28,170","28,561","27,278","27,185","27,596","24,251","26,834","27,147","27,235"
