"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: Home and Work","","","","","","(c)2012 comScore, Inc"
"","","","Time Period :: December 2010 - February 2012","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 3/20/2012","","","","","",""

"","","","Dec-2010","Jan-2011","Feb-2011","Mar-2011","Apr-2011","May-2011","Jun-2011","Jul-2011","Aug-2011","Sep-2011","Oct-2011","Nov-2011","Dec-2011","Jan-2012","Feb-2012"
"78","[P]","    Expedia Inc","60,770","78,144","72,338","75,452","76,130","80,012","86,378","96,945","90,073","83,120","80,395","79,120","82,633","49,255","46,728"
"79","[P](u)","    IDG Network","45,557","46,569","42,183","42,919","39,909","41,359","42,265","43,137","45,320","45,381","51,583","49,764","53,003","49,894","46,630"
"80","[P]","    MEGAUPLOAD.COM","83,740","75,388","70,290","75,408","74,894","80,298","80,723","84,151","87,729","88,746","97,402","93,690","95,508","90,455","46,479"
"81","[P](u)","    Schibsted (Anuntis-Infojobs-20minutos)","37,140","41,773","39,991","42,334","40,491","42,472","40,678","40,241","42,120","44,108","44,860","45,406","43,783","47,424","46,253"
"82","[P]","    MIH Limited","40,443","40,092","38,164","39,537","39,869","42,619","41,006","40,098","41,226","42,249","45,151","43,431","48,341","48,595","45,478"
"83","[P](u)","    Globo","26,215","29,295","29,018","31,260","29,591","29,624","29,574","35,953","39,315","40,559","45,806","47,430","44,668","47,683","44,867"
"84","[P]","    KuGou Inc.","33,983","39,702","39,959","44,818","43,509","47,424","48,141","49,539","45,198","41,019","40,017","39,526","39,944","41,253","44,561"
"85","[P](u)","    BUZZMEDIA","50,811","51,934","48,368","51,750","48,188","39,034","41,796","41,757","43,993","41,886","44,168","44,335","46,055","47,081","44,318"
"86","[P]","    UPLOADED.TO","7,211","7,811","7,650","9,275","9,883","12,875","14,468","13,698","13,968","14,872","17,470","17,787","18,865","29,038","44,116"
"87","[P](u)","    Conde Nast Digital","43,160","37,318","37,913","38,360","37,970","40,588","37,490","36,864","40,361","40,502","45,134","47,114","48,033","47,609","43,494"
"88","[P]","    AVG Technologies","45,625","22,147","19,879","19,463","21,051","33,812","35,374","34,400","33,435","33,860","40,205","24,428","32,517","39,951","43,217"
"89","[P](U)","    DEVIANTART.COM","32,874","32,783","31,405","34,753","34,539","35,408","36,003","37,592","38,775","37,879","40,757","39,709","43,198","46,817","42,846"
"90","[P]","    Steam (App)","24,899","24,930","23,491","24,739","25,037","26,666","29,916","32,068","32,682","35,053","37,360","39,186","40,774","41,936","42,644"
"91","[P]","    NTT Group","38,555","39,398","37,059","38,176","36,443","39,409","39,214","40,345","41,125","42,199","42,712","42,196","41,512","43,502","42,135"
"92","[P](U)","    Tribune Interactive","35,122","39,973","39,085","44,407","42,033","45,478","41,581","41,521","43,111","42,658","42,038","40,930","42,028","44,403","42,132"
"93","[P]","    CyberAgent","33,345","35,024","33,088","34,536","32,455","36,007","35,381","36,532","38,155","38,714","39,681","39,709","39,139","41,786","41,753"
"94","[P](U)","    Internet Brands, Inc.","22,832","26,253","23,576","24,743","23,527","28,409","35,308","38,046","39,182","41,188","41,806","40,086","39,964","42,852","41,511"
"95","[P](u)","    Geeknet","41,486","43,137","37,140","39,755","36,951","37,397","37,428","36,067","36,823","37,653","40,645","40,763","41,266","42,656","40,748"
"96","[P]","    GSN Games","50,447","40,504","35,409","35,710","34,555","39,743","42,472","45,795","45,340","40,645","40,375","37,700","40,001","39,831","39,881"
"97","[P](U)","    CraveOnline (Evolve Media Corp.)","32,782","33,642","27,280","28,329","31,484","34,450","35,710","31,189","32,946","37,051","38,756","36,470","40,782","40,563","39,439"
"98","[P]","    PCPOP Sites","18,752","21,922","15,439","20,137","16,672","21,927","19,974","28,946","26,192","29,025","33,820","33,237","35,795","36,560","39,134"
"99","[P](u)","    Discovery Digital Media Sites","34,677","37,264","34,376","37,845","37,568","40,058","37,700","36,578","37,442","39,100","40,587","38,698","37,956","40,527","39,024"
"100","[P](u)","    Yellowbook Network","50,937","37,845","42,742","46,021","34,144","33,263","31,719","31,052","40,889","44,566","45,294","41,933","37,808","43,441","37,083"
"101","[P]","    Lycos Global Search And Media","34,089","34,464","32,199","34,700","33,239","37,032","34,867","33,202","36,410","37,407","40,406","42,903","33,486","35,672","36,816"
"102","[P]","    Hewlett Packard","41,079","41,809","36,404","39,238","37,850","38,699","38,491","41,350","44,352","49,156","53,575","51,034","52,063","40,667","36,607"
"103","[P]","    United-Internet Sites","30,868","32,073","29,390","29,392","29,038","30,369","31,306","31,002","36,480","37,131","37,913","37,349","37,905","41,715","36,462"
"104","[P]","    NETFLIX.COM","23,239","27,279","26,081","28,616","29,974","34,132","28,900","30,955","30,163","32,766","29,716","28,337","37,382","34,063","36,379"
"105","[P]","    Opera Software","34,392","33,530","31,005","29,356","36,546","31,327","29,844","32,838","33,462","36,033","35,314","34,480","41,437","38,440","36,290"
"106","[P]","    MercadoLibre","34,448","34,308","31,564","33,047","31,416","33,447","33,481","35,707","38,421","36,904","38,175","38,167","37,583","38,856","35,994"
"107","[P]","    Otto Gruppe","34,406","32,873","31,576","32,805","32,143","33,500","31,779","30,702","30,445","33,087","36,481","37,158","36,010","35,630","35,591"
"108","[P](u)","    Time Warner (Excl. Turner/WB)","42,993","47,935","43,106","49,503","41,910","47,814","40,699","41,270","38,369","39,730","39,341","38,805","37,628","38,260","35,586"
"109","[P](u)","    AT&T Interactive Network","31,079","33,967","31,327","32,004","31,031","34,381","34,274","40,519","39,919","38,871","37,369","35,246","36,215","36,153","35,558"
"110","[P]","    China Mobile Sites","19,644","17,619","16,692","19,067","17,142","22,055","24,848","26,743","28,498","28,460","29,837","30,641","35,093","34,632","35,342"
"111","[P](u)","    Everyday Health","33,167","33,918","29,320","33,072","32,901","32,041","32,213","34,217","34,243","35,044","34,819","35,697","33,321","38,015","35,274"
"112","[P]","    LETITBIT.NET","18,690","19,200","17,768","17,341","17,015","18,542","18,233","18,618","18,551","19,133","21,881","22,344","21,951","26,190","35,167"
"113","[P]","    Groupe PPR","35,884","35,330","30,733","30,680","29,689","32,566","31,686","30,485","31,620","34,230","34,792","37,621","39,277","37,905","34,810"
"114","[P]","    Samsung Group","27,720","24,046","20,766","22,300","22,161","26,231","26,862","28,672","29,487","33,067","35,730","37,065","44,987","38,633","34,770"
"115","[P](U)","    Indeed","22,587","28,886","28,883","33,185","31,806","33,544","35,520","29,007","26,672","31,889","32,229","31,909","27,023","37,788","34,631"
"116","[P]","    RosBusinessConsulting","30,812","30,966","28,947","31,176","31,116","32,411","31,211","31,412","31,522","32,341","33,463","33,464","34,729","34,109","34,474"
"117","[P](u)","    Prisa","20,184","20,601","19,610","21,036","22,395","24,703","23,160","21,636","26,226","34,113","35,676","36,069","33,838","35,827","34,324"
"118","[P]","    Dwango Co., Ltd.","20,856","21,228","19,978","22,195","21,638","23,745","25,692","27,261","29,490","30,647","32,263","32,908","33,162","34,574","34,130"
"119","[P]","    Hubert Burda Media","29,636","31,140","28,708","29,590","28,817","32,213","32,646","33,034","33,645","33,664","36,336","33,799","33,456","35,761","33,782"
"120","[P](u)","    Shopzilla.com Sites","39,287","37,642","34,785","33,857","30,522","32,293","31,499","36,605","38,783","38,741","43,104","44,306","44,161","40,800","33,705"
"121","[P](u)","    Fox Interactive Media","110,651","107,900","95,278","99,059","104,867","106,234","97,266","95,943","37,407","41,502","44,630","39,643","36,591","35,750","33,340"
"122","[P]","    GMO Internet Group","24,691","25,540","24,227","26,804","24,203","26,511","25,713","28,510","30,780","31,599","32,616","32,452","31,459","33,780","33,272"
"123","[P]","    58.COM","13,558","15,193","16,039","20,774","17,584","21,053","23,319","28,898","28,293","31,272","38,028","30,319","28,431","29,546","33,042"
"124","[P](u)","    Sheknows (Evolve Media Corp.)","36,548","35,571","31,761","30,852","30,562","30,925","28,992","29,513","30,941","30,919","29,253","34,478","35,646","35,175","32,988"
"125","[P]","    Ebuzzing","27,075","27,520","24,369","26,285","27,849","29,614","28,256","28,464","30,830","30,753","32,143","32,052","31,395","33,608","32,962"
"126","[P]","    Intuit","11,050","23,360","24,764","20,213","19,565","11,635","10,862","10,667","11,315","11,237","12,970","11,995","12,954","25,850","32,934"
"127","[P]","    Groupe Lagardere","44,101","45,416","41,843","45,039","46,473","46,521","47,076","46,413","43,618","44,540","44,618","43,997","31,431","33,635","32,927"
"128","[P]","    2345.COM","22,101","24,888","27,464","31,816","31,156","32,877","31,230","34,477","35,807","34,434","35,204","34,524","35,798","33,419","32,819"
"129","[P](u)","    Dow Jones & Company","26,388","30,171","26,120","32,397","30,562","29,981","31,430","31,208","35,494","34,281","34,704","31,356","29,875","31,841","32,509"
"130","[P](U)","    YELP.COM","25,452","27,576","26,958","30,088","30,596","31,270","32,712","35,005","35,256","33,470","33,189","30,811","31,613","32,643","32,272"
"131","[P]","    DOUBAN.COM","12,725","16,111","14,031","14,549","13,108","16,465","17,983","19,012","19,214","21,743","25,219","24,978","28,352","29,323","32,118"
"132","[P]","    Groupe Pages Jaunes","35,251","38,582","36,485","37,566","34,908","36,573","36,058","34,636","33,521","32,931","34,464","33,289","31,960","32,403","32,050"
"133","[P]","    HotChalk","16,394","21,318","20,220","27,518","25,943","26,594","23,021","19,855","23,188","29,947","32,767","31,002","27,133","30,586","32,001"
"134","[P]","    Seesaa","23,262","24,515","21,896","23,095","22,673","25,575","26,288","27,649","28,896","29,964","31,181","31,127","30,878","33,198","31,922"
"135","[P](u)","    Liberty Media Holding Corporation","13,195","12,602","11,051","11,456","11,041","11,488","12,331","22,555","27,668","30,097","36,669","32,531","35,046","29,864","31,769"
"136","[P](u)","    The Washington Post Company","26,790","29,778","28,072","31,198","26,372","34,693","27,854","27,816","30,633","29,392","32,765","32,356","32,808","34,119","31,710"
"137","[P](U)","    Metacafe","49,214","49,035","44,864","47,043","45,853","47,078","44,154","42,062","38,272","40,707","39,860","39,500","36,497","33,940","31,650"
"138","[P]","    WebMD Health","30,494","32,498","28,954","32,555","30,137","35,601","35,420","37,629","38,912","38,761","41,091","39,394","36,895","32,354","31,256"
"139","[P]","    Symantec","30,084","31,426","28,294","31,052","28,243","30,222","28,485","28,704","30,475","31,778","33,160","32,154","32,596","34,281","31,220"
"140","[P](u)","    Gawker Media","34,239","35,458","25,436","25,883","24,931","29,105","29,763","27,667","28,194","29,727","32,936","30,531","31,889","34,025","30,941"
"141","[P](U)","    Scripps Networks Interactive Inc.","34,013","33,966","27,947","30,591","31,223","31,907","26,665","28,873","29,274","28,918","31,267","36,209","36,249","34,870","30,812"
"142","[P]","    Iliad - Free.fr Sites","30,038","30,499","28,705","29,561","28,132","29,248","27,183","25,481","27,140","29,493","29,318","29,843","29,143","32,449","30,729"
"143","[P]","    BADOO.COM","25,916","25,175","24,076","26,204","24,361","28,715","29,113","28,249","32,526","33,884","36,217","34,208","32,212","31,195","30,696"
"144","[P]","    TARINGA.NET","27,880","29,126","28,281","30,373","29,895","30,207","29,231","29,845","31,484","32,743","32,683","31,432","30,783","32,362","30,348"
"145","[P]","    DANGDANG.COM","9,264","12,207","10,849","12,456","11,625","13,267","13,404","16,002","19,075","22,207","25,849","29,079","26,060","26,436","30,164"
"146","[P]","    RTL Group Sites","30,073","29,298","26,214","28,563","27,971","30,173","27,872","27,269","26,453","27,348","29,182","27,229","27,548","28,628","30,105"
"147","[P]","    Sakura Internet","24,612","23,985","21,556","23,326","22,815","24,684","25,418","25,908","26,536","28,144","30,352","29,501","29,172","30,233","30,091"
"148","[P](U)","    Reader's Digest Digital Network","32,238","27,292","26,602","25,835","25,683","24,198","23,747","25,644","26,548","27,905","31,026","34,443","38,488","31,247","29,816"
"149","[P]","    Nifty Corporation","26,846","26,838","24,617","25,468","25,467","27,352","26,795","27,856","28,585","29,356","30,460","29,193","28,851","30,028","29,763"
"150","[P](u)","    RCS Media Group","20,489","21,835","20,431","21,363","20,757","22,080","19,863","19,084","19,728","21,610","28,869","29,309","26,949","31,003","29,734"
"151","[P]","    56.COM","30,996","32,579","32,068","33,134","33,098","33,588","33,523","35,657","34,338","39,178","40,994","32,378","30,057","28,259","29,674"
"152","[P]","    Y8.COM","14,356","13,378","12,564","12,621","13,075","12,814","14,212","14,678","14,178","12,370","23,154","23,716","28,850","34,467","29,657"
"153","[P]","    Vodafone Group","26,951","27,833","25,550","26,669","23,697","26,755","25,862","27,271","28,573","27,345","30,509","28,925","29,468","28,502","29,014"
